KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.6399,28.82121067,16.44667786,13.52327525,19.95095559,,0.5634,0.4137
0.6439,28.87197925,16.52516292,13.51831772,19.89872139,,0.5644,0.4142
0.6479,28.90107694,16.60273497,13.51643274,19.83825501,,0.5652,0.4147
0.6519,28.90857311,16.67552086,13.5139539,19.77124317,,0.566,0.4153
0.6559,28.89522979,16.74153191,13.5112357,19.69756187,,0.5667,0.416
0.6599,28.86411714,16.80040838,13.51053306,19.61893148,,0.5674,0.4167
0.6639,28.81706783,16.85435537,13.51330471,19.5351298,,0.5679,0.4175
0.6679,28.75471969,16.90624356,13.51953775,19.44432783,,0.5684,0.4183
0.6719,28.68123472,16.95625438,13.52871702,19.34810631,,0.5688,0.4193
0.6759,28.60022176,17.00355657,13.54043489,19.24926693,,0.5692,0.4203
0.68,28.50967669,17.04711109,13.55261161,19.1456372,,0.5696,0.4213
0.684,28.40642196,17.08664959,13.56160785,19.03298925,,0.5699,0.4223
0.688,28.29224105,17.12457754,13.56715147,18.91366919,,0.5703,0.4234
0.692,28.16931014,17.16762388,13.5725055,18.78907251,,0.5707,0.4246
0.696,28.03817647,17.22248022,13.58042478,18.65545924,,0.5712,0.4259
0.7,27.90292152,17.28736662,13.59223881,18.51416398,,0.5717,0.4274
0.704,27.76645286,17.35898583,13.60746837,18.36827406,,0.5722,0.4289
0.708,27.62818166,17.43874615,13.62488009,18.21697693,,0.5728,0.4306
0.712,27.48985809,17.52613264,13.6433366,18.06224922,,0.5735,0.4323
0.716,27.35453859,17.61853043,13.66188229,17.90937528,,0.5741,0.434
0.72,27.22240522,17.71728437,13.68048097,17.7581051,,0.5748,0.4358
0.724,27.09321456,17.82610281,13.69930364,17.60450189,,0.5756,0.4376
0.728,26.97059108,17.94358602,13.71918033,17.45060336,,0.5765,0.4394
0.732,26.85587831,18.06940314,13.74212123,17.29703428,,0.5774,0.4413
0.736,26.74628663,18.20776369,13.7679001,17.13914309,,0.5784,0.4433
0.74,26.64279817,18.35761778,13.7926592,16.97816823,,0.5795,0.4453
0.744,26.54835481,18.51741488,13.81402083,16.81644725,,0.5807,0.4473
0.748,26.46415358,18.68861148,13.83323668,16.65224725,,0.5821,0.4494
0.752,26.39075475,18.86742898,13.85117577,16.48692811,,0.5836,0.4515
0.756,26.32866959,19.05206299,13.86757143,16.32178281,,0.5851,0.4535
0.7599,26.27929573,19.24583223,13.88234292,16.15689351,,0.5868,0.4555
0.7639,26.24349111,19.44586682,13.89505183,15.99663633,,0.5885,0.4575
0.7679,26.22003089,19.64489134,13.90577977,15.84602915,,0.5902,0.4593
0.7719,26.20893155,19.83952913,13.91477084,15.70650076,,0.5919,0.461
0.7759,26.21076851,20.02861502,13.92144369,15.57866405,,0.5936,0.4626
0.7799,26.2215263,20.20656754,13.92569447,15.46418251,,0.5952,0.464
0.7839,26.23709534,20.36638489,13.92723055,15.36333933,,0.5966,0.4652
0.7879,26.25689435,20.50436454,13.92548771,15.27595866,,0.5979,0.4662
0.7919,26.27846985,20.6170032,13.92077239,15.20353706,,0.599,0.467
0.7959,26.29726974,20.70169956,13.91290432,15.14687805,,0.5999,0.4676
0.7999,26.31097844,20.75994173,13.90126583,15.10467871,,0.6005,0.4679
0.8039,26.32029741,20.79574098,13.88693168,15.07553483,,0.601,0.4681
0.8079,26.3275539,20.81283538,13.87244143,15.05873693,,0.6014,0.4682
0.8119,26.33523472,20.81428601,13.85929451,15.05204314,,0.6015,0.4681
0.8159,26.34468656,20.80409127,13.84639652,15.05215113,,0.6016,0.468
0.8199,26.35688479,20.78902533,13.83220031,15.05797113,,0.6017,0.4677
0.8239,26.37415177,20.77712882,13.81612173,15.06635583,,0.6017,0.4675
0.8279,26.39826896,20.77423959,13.79839811,15.07140183,,0.6019,0.4672
0.8319,26.42788351,20.7825246,13.78111412,15.07251679,,0.6022,0.4671
0.8359,26.46222072,20.802424,13.7657301,15.07042558,,0.6025,0.4669
0.84,26.501994,20.83402207,13.75131224,15.06288952,,0.603,0.4669
0.844,26.5456495,20.87561849,13.73583376,15.04916159,,0.6035,0.4669
0.848,26.59149507,20.92483872,13.71833575,15.02898796,,0.6042,0.4669
0.852,26.63832578,20.98284871,13.70067695,15.00146193,,0.605,0.4671
0.856,26.68344405,21.05274964,13.68571463,14.96697419,,0.6058,0.4673
0.86,26.72426331,21.13212629,13.67446641,14.92689815,,0.6066,0.4677
0.864,26.75669785,21.21546404,13.66471523,14.87976317,,0.6075,0.4681
0.868,26.77511138,21.30033862,13.65366672,14.82187238,,0.6084,0.4687
0.872,26.77656846,21.38469049,13.64110812,14.75249604,,0.6093,0.4693
0.876,26.75335293,21.46809309,13.62839835,14.66855833,,0.6103,0.4701
0.8799,26.6927273,21.55268627,13.61731216,14.56346612,,0.6112,0.4712
0.8839,26.58993536,21.63652311,13.60895021,14.43640416,,0.612,0.4726
0.8879,26.43978578,21.71968193,13.60273097,14.28513327,,0.6129,0.4743
0.8919,26.23520932,21.81010935,13.59864288,14.10356665,,0.6137,0.4765
0.8959,25.98380255,21.91549498,13.59894309,13.89528085,,0.6146,0.4791
0.8999,25.70301534,22.04218377,13.60608798,13.67022997,,0.6155,0.4821
0.9039,25.40211238,22.20796049,13.62568297,13.42865225,,0.6166,0.4855
0.9079,25.08384819,22.43599132,13.66518519,13.1651601,,0.6178,0.4896
0.9119,24.76009393,22.72971118,13.72584704,12.88644339,,0.6193,0.4942
0.9159,24.44252227,23.09157116,13.81200996,12.60204269,,0.6209,0.4993
0.9199,24.13506979,23.53150804,13.93293441,12.31790942,,0.6227,0.5049
0.9239,23.84435707,24.03496873,14.08769315,12.04630619,,0.6244,0.5109
0.9279,23.57145662,24.58289914,14.27326247,11.79524039,,0.626,0.517
0.9319,23.31033148,25.16654634,14.49003656,11.56461228,,0.6274,0.5232
0.9359,23.06156103,25.76037049,14.72935086,11.35804072,,0.6285,0.5293
0.9399,22.82823228,26.33122005,14.97762709,11.18036447,,0.6293,0.535
0.9439,22.6045893,26.8628761,15.2296856,11.02865323,,0.6298,0.5404
0.9479,22.38167907,27.35133647,15.48481881,10.89569774,,0.6299,0.5454
0.9519,22.15924014,27.78887732,15.73444838,10.77892075,,0.6298,0.55
0.9559,21.93671992,28.17084897,15.96985332,10.67694676,,0.6294,0.5543
0.96,21.70901669,28.50226597,16.18824064,10.58567138,,0.6289,0.5582
0.964,21.47889344,28.78648456,16.3852703,10.50262742,,0.6283,0.5618
0.968,21.25078398,29.02865711,16.56046126,10.4238347,,0.6277,0.5651
0.972,21.02433789,29.24021657,16.71842686,10.34342898,,0.627,0.5682
0.976,20.80271537,29.43029884,16.85978526,10.26024931,,0.6265,0.5711
0.98,20.59262664,29.6040191,16.98399613,10.17609096,,0.6261,0.5739
0.984,20.39702757,29.76988157,17.09492075,10.09128546,,0.6258,0.5765
0.988,20.21523081,29.93793792,17.1977738,10.00550222,,0.6256,0.579
0.992,20.04730173,30.10771527,17.2961138,9.920269377,,0.6255,0.5814
0.996,19.89019501,30.27473912,17.39363995,9.837571256,,0.6255,0.5837
1,19.73854252,30.4377443,17.49428851,9.759357179,,0.6253,0.586
1.004,19.59171035,30.59132627,17.59875229,9.689454595,,0.6251,0.5882
1.008,19.44950991,30.73090871,17.70633978,9.630367377,,0.6248,0.5902
1.012,19.30985086,30.85716926,17.8170703,9.580833677,,0.6243,0.5921
1.016,19.17328859,30.96926576,17.92835574,9.538882486,,0.6237,0.594
1.02,19.04305924,31.06361622,18.03541015,9.503904969,,0.6231,0.5956
1.024,18.91946685,31.13804408,18.13466089,9.476472704,,0.6224,0.5971
1.028,18.79917523,31.19288217,18.22517595,9.456532182,,0.6216,0.5984
1.032,18.68251115,31.23054883,18.30718343,9.440825046,,0.6208,0.5996
1.036,18.57104822,31.25663431,18.38181194,9.424858089,,0.6201,0.6007
1.0399,18.46445577,31.27798759,18.45090172,9.407765835,,0.6194,0.6017
1.0439,18.36411893,31.29861657,18.51519984,9.391294847,,0.6188,0.6027
1.0479,18.27113372,31.32185355,18.57618018,9.374977496,,0.6182,0.6037
1.0519,18.18516604,31.35027162,18.63527155,9.357241882,,0.6177,0.6046
